TIME_PERIOD;GEO;AGE;SEX;Obs_status;Obs_value
2020-W03;CH;Y45T49;F;P;4
2020-W03;CH;Y45T49;M;P;9
2020-W03;CH;Y50T54;T;P;27
2020-W03;CH;Y50T54;F;P;9
2020-W03;CH;Y50T54;M;P;18
2020-W03;CH;Y55T59;T;P;36
2020-W03;CH;Y55T59;F;P;14
2020-W03;CH;Y55T59;M;P;22
2020-W03;CH;Y60T64;T;P;56
2020-W03;CH;Y60T64;F;P;16
2020-W03;CH;Y60T64;M;P;40
2020-W03;CH;Y65T69;T;P;78
2020-W03;CH;Y65T69;F;P;27
2020-W03;CH;Y65T69;M;P;51
2020-W03;CH;Y70T74;T;P;105
2020-W03;CH;Y70T74;F;P;33
2020-W03;CH;Y70T74;M;P;72
2020-W03;CH;Y75T79;T;P;137
2020-W03;CH;Y75T79;F;P;55
2020-W03;CH;Y75T79;M;P;82
2020-W03;CH;Y80T84;T;P;194
2020-W03;CH;Y80T84;F;P;93
2020-W03;CH;Y80T84;M;P;101
2020-W03;CH;Y85T89;T;P;271
2020-W03;CH;Y85T89;F;P;142
2020-W03;CH;Y85T89;M;P;129
2020-W03;CH;Y_GE90;T;P;446
2020-W03;CH;Y_GE90;F;P;303
2020-W03;CH;Y_GE90;M;P;143
2020-W04;CH;_T;T;P;1409
2020-W04;CH;_T;F;P;703
2020-W04;CH;_T;M;P;706
2020-W04;CH;Y0T4;T;P;5
2020-W04;CH;Y0T4;F;P;1
2020-W04;CH;Y0T4;M;P;4
2020-W04;CH;Y10T14;T;P;1
2020-W04;CH;Y10T14;M;P;1
2020-W04;CH;Y15T19;T;P;2
2020-W04;CH;Y15T19;F;P;1
2020-W04;CH;Y15T19;M;P;1
2020-W04;CH;Y20T24;T;P;4
2020-W04;CH;Y20T24;F;P;2
2020-W04;CH;Y20T24;M;P;2
2020-W04;CH;Y25T29;T;P;6
2020-W04;CH;Y25T29;F;P;3
2020-W04;CH;Y25T29;M;P;3
2020-W04;CH;Y30T34;T;P;4
2020-W04;CH;Y30T34;M;P;4
